Дата;"Реальная сумма";"Планируемая сумма";"Валюта";"Категория";"Описание";"Счёт";"Конверт";"Перевод"		
2026-05-15;"-20.0";"-25.0";"azn";"Автомобиль / Бензин";"20";"ABB kredit kart";"Резервы";""		
2026-05-15;"112.0";"";"azn";"";"";"";"";"TamKart Fiziki 5338 => Кошелёк"		
2026-05-15;"";"-100.0";"azn";"Гигиена и красота";"100";"ASB kart";"Резервы";""		
2026-05-15;"";"-75.0";"azn";"Подарки";"75";"ASB kart";"Резервы";""		
2026-05-14;"-110.0";"";"azn";"Подарки";"110 помощь Эльденизу после операции.";"TamKart Fiziki 5338";"Резервы";""		
2026-05-14;"-15.0";"-25.0";"azn";"Продукты";"15";"ASB kart";"Резервы";""		
2026-05-14;"-4.0";"";"azn";"Гигиена и красота";"4";"ASB kart";"Резервы";""		
2026-05-14;"-34.0";"";"azn";"Ребенок";"34 едв";"ASB kart";"Резервы";""		
2026-05-14;"";"-40.0";"azn";"Ком. услуги / Электроэнергия";"40";"ASB kart";"Резервы";""		
2026-05-13;"-250.0";"";"azn";"Ребенок / Терапия";"250 психолог";"Кошелёк";"Резервы";""		
2026-05-13;"-150.0";"";"azn";"Ребенок";"150 детский сад";"Кошелёк";"Резервы";""		
2026-05-13;"-5.0";"";"azn";"Дом";"5";"ASB kart";"Резервы";""		
2026-05-12;"-5.0";"-25.0";"azn";"Продукты";"5";"ASB kart";"Резервы";""		
2026-05-12;"-72.0";"";"azn";"Ребенок";"72 коляска Лейле";"ASB kart";"Резервы";""		
2026-05-11;"-8.0";"";"azn";"Транспорт";"8";"Кошелёк";"Резервы";""		
2026-05-11;"300.0";"";"azn";"";"";"";"";"TamKart Fiziki 5338 => Облигации ABB"		
2026-05-11;"-34.0";"";"azn";"Медицина / Лекарства";"34";"TamKart Fiziki 5338";"Резервы";""		
2026-05-11;"-30.0";"";"azn";"Ребенок";"30 Рашаду";"ASB kart";"Резервы";""		
2026-05-11;"-6.0";"";"azn";"Транспорт";"6";"Кошелёк";"Резервы";""		
2026-05-11;"400.0";"";"azn";"";"";"";"";"Digihesab Samira => Облигации ABB"		
2026-05-11;"300.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2026-05-11;"1028.0";"";"azn";"";"";"";"";"Digihesab Samira => Digideposit Samira"		
2026-05-11;"-15.0";"";"azn";"Медицина / Лечение";"15 врачу и медсестре";"Кошелёк";"Резервы";""		
2026-05-11;"";"-10.0";"azn";"Ком. услуги / Вода";"10";"ASB kart";"Резервы";""		
2026-05-10;"-4.5";"";"azn";"Продукты";"4.5";"ASB kart";"Резервы";""		
2026-05-10;"-20.0";"";"azn";"Продукты";"20";"Кошелёк";"Резервы";""		
2026-05-10;"-8.7";"";"azn";"Медицина / Лекарства";"8.7";"ASB kart";"Резервы";""		
2026-05-10;"";"-20.0";"azn";"Ребенок / Траты";"20";"ASB kart";"Резервы";""		
2026-05-09;"180.0";"";"azn";"";"";"";"";"TamKart Fiziki 5338 => ABB kredit kart"		
2026-05-09;"-10.0";"-10.0";"azn";"Платный софт";"10 one drive";"DigiHesab Ilqar";"Резервы";""		
2026-05-09;"-4.0";"";"azn";"Проценты и бонусы";"4";"TamKart Fiziki 5338";"Резервы";""		
2026-05-09;"429.0";"429.0";"azn";"Пенсия Самира";"429";"ABB kart Samira";"Резервы";""		
2026-05-09;"-7.0";"";"azn";"Ком. услуги / Вода";"7";"Albali kart";"Резервы";""		
2026-05-09;"-54.0";"";"azn";"Ком. услуги / Электроэнергия";"54";"Albali kart";"Резервы";""		
2026-05-09;"-48.0";"-25.0";"azn";"Продукты";"48";"ASB kart";"Резервы";""		
2026-05-08;"-38.0";"";"azn";"Ребенок";"38 Лекарство";"ASB kart";"Резервы";""		
2026-05-08;"-30.5";"";"azn";"Ребенок";"30.5 подгузники";"ASB kart";"Резервы";""		
2026-05-08;"-27.0";"";"azn";"Продукты";"27";"ASB kart";"Резервы";""		
2026-05-08;"-2.0";"";"azn";"Продукты";"2";"ASB kart";"Резервы";""		
2026-05-08;"";"-80.0";"azn";"Ребенок / Одежда";"80";"ASB kart";"Резервы";""		
2026-05-08;"-30.0";"-25.0";"azn";"Автомобиль / Бензин";"30";"ASB kart";"Резервы";""		
2026-05-08;"-5.0";"-4.0";"azn";"Развлечения и хобби";"5 futbol";"Кошелёк";"Резервы";""		
2026-05-08;"-5.6";"-5.6";"azn";"Платный софт";"5.6 ticktick";"Albali kart";"Резервы";""		
2026-05-07;"-10.0";"";"azn";"Продукты";"10";"Кошелёк";"Резервы";""		
2026-05-07;"";"-16.0";"azn";"Ком. услуги / Квартира";"16";"Кошелёк";"Резервы";""		
2026-05-07;"-45.16";"-25.0";"azn";"Продукты";"45	16";"ASB kart";"Резервы";""	
2026-05-07;"-60.0";"";"azn";"Ребенок";"60 Лекарства";"ASB kart";"Резервы";""		
2026-05-07;"600.0";"";"azn";"";"";"";"";"Кошелёк => Albali kart"		
2026-05-07;"700.0";"";"azn";"";"";"";"";"Кошелёк => TamKart Fiziki 5338"		
2026-05-06;"483.0";"";"azn";"";"";"";"";"Albali kart => Albali кредитная карта"		
2026-05-06;"-60.3";"-20.0";"azn";"Ребенок";"60.3 лекарства";"ASB kart";"Резервы";""		
2026-05-06;"-10.0";"";"azn";"Ребенок";"10 врачу";"Кошелёк";"Резервы";""		
2026-05-06;"1500.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2026-05-05;"2640.0";"2300.0";"azn";"Зарплата Ильгар";"2640";"ASB kart";"Резервы";""		
2026-05-05;"";"-100.0";"azn";"Ребенок";"100";"ASB kart";"Резервы";""		
2026-05-05;"-50.0";"-50.0";"azn";"Платный софт";"50 Notion";"Albali кредитная карта";"Резервы";""		
2026-05-05;"-3.3";"-25.0";"azn";"Продукты";"3.3";"ASB kart";"Резервы";""		
2026-05-05;"-20.0";"";"azn";"Медицина / Лекарства";"20";"ASB kart";"Резервы";""		
2026-05-05;"-33.0";"";"azn";"Ребенок";"33 еда";"ASB kart";"Резервы";""		
2026-05-04;"";"-13.0";"azn";"Интернет и связь";"13 ilqar internet";"ASB kart";"Резервы";""		
2026-05-04;"";"-50.0";"azn";"Продукты";"50 мясо";"Кошелёк";"Резервы";""		
2026-05-04;"";"-60.0";"azn";"Медицина / Лекарства";"60 Финлипсал Эпинекс и Бисогамма";"ASB kart";"Резервы";""		
2026-05-04;"-12.8";"";"azn";"Продукты";"12.8";"TamKart Fiziki 5338";"Резервы";""		
2026-05-03;"";"-35.0";"azn";"Дом";"35";"ASB kart";"Резервы";""		
2026-05-03;"";"-20.0";"azn";"Ребенок / Траты";"20";"ASB kart";"Резервы";""		
2026-05-03;"";"-5.0";"azn";"Проценты и бонусы";"5";"ASB kart";"Резервы";""		
2026-05-03;"50.0";"";"azn";"";"";"";"";"Кошелёк => TamKart Fiziki 5338"		
2026-05-02;"180.0";"";"azn";"";"";"";"";"ABB kredit kart => Кошелёк"		
2026-05-02;"-4.9";"-25.0";"azn";"Продукты";"4.9";"TamKart Fiziki 5338";"Резервы";""		
2026-05-01;"-10.0";"";"azn";"Продукты";"10";"TamKart Fiziki 5338";"Резервы";""		
2026-05-01;"30.0";"";"azn";"Проценты и бонусы";"30 edv";"TamKart Fiziki 5338";"Резервы";""		
2026-05-01;"-25.0";"";"azn";"Автомобиль / Бензин";"25";"TamKart Fiziki 5338";"Резервы";""		
2026-05-01;"-5.0";"-4.0";"azn";"Развлечения и хобби";"5 futbol";"Кошелёк";"Резервы";""		
2026-04-30;"-25.0";"-25.0";"azn";"Интернет и связь";"25 ailenet";"Albali кредитная карта";"Резервы";""		
2026-04-30;"-11.0";"-25.0";"azn";"Продукты";"11";"TamKart Fiziki 5338";"Резервы";""		
2026-04-30;"20.0";"";"azn";"Проценты и бонусы";"20 edv";"TamKart Fiziki 5338";"Резервы";""		
2026-04-28;"-16.0";"-25.0";"azn";"Продукты";"4 12";"TamKart Fiziki 5338";"Резервы";""		
2026-04-27;"7.0";"";"azn";"";"";"";"";"Кошелёк => TamKart Fiziki 5338"		
2026-04-27;"47.0";"";"azn";"Проценты и бонусы";"47 edv";"TamKart Fiziki 5338";"Резервы";""		
2026-04-27;"-34.5";"";"azn";"Ребенок";"34.5 еда";"TamKart Fiziki 5338";"Резервы";""		
2026-04-26;"-12.0";"";"azn";"Интернет и связь";"12 ilqar";"Albali кредитная карта";"Резервы";""		
2026-04-25;"-35.0";"-25.0";"azn";"Продукты";"35";"Кошелёк";"Резервы";""		
2026-04-25;"-297.0";"";"azn";"Ребенок";"90 стульчик для Лейлы	 195 золотые серьги для Лейлы 12 машинка для Руфатика";"Кошелёк";"Резервы";""	
2026-04-25;"-5.5";"";"azn";"Продукты";"5.5";"ASB kart";"Резервы";""		
2026-04-24;"-15.0";"-25.0";"azn";"Автомобиль / Бензин";"15";"ASB kart";"Резервы";""		
2026-04-24;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2026-04-24;"-24.0";"";"azn";"Интернет и связь";"24 azercell";"Albali кредитная карта";"Резервы";""		
2026-04-23;"-8.0";"-25.0";"azn";"Продукты";"8";"ABB kart Samira";"Резервы";""		
2026-04-22;"-8.0";"";"azn";"Продукты";"8";"ABB kart Samira";"Резервы";""		
2026-04-21;"-6.0";"-6.0";"azn";"Платный софт";"6 Yandex Music";"ASB kart";"Резервы";""		
2026-04-21;"-49.0";"-25.0";"azn";"Продукты";"49";"ABB kart Samira";"Резервы";""		
2026-04-21;"-130.0";"";"azn";"Гигиена и красота";"130 minoxidil";"Albali кредитная карта";"Резервы";""		
2026-04-20;"-27.54";"";"azn";"Медицина / Лекарства";"27.54";"ABB kart Samira";"Резервы";""		
2026-04-20;"-3.0";"";"azn";"Продукты";"3";"ABB kart Samira";"Резервы";""		
2026-04-19;"-11.0";"-20.0";"azn";"Ребенок / Траты";"11";"Кошелёк";"Резервы";""		
2026-04-19;"-59.0";"";"azn";"Ребенок";"59";"ASB kart";"Резервы";""		
2026-04-18;"-11.0";"-25.0";"azn";"Продукты";"11";"ASB kart";"Резервы";""		
2026-04-17;"95.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2026-04-17;"-20.0";"-25.0";"azn";"Автомобиль / Бензин";"20";"ASB kart";"Резервы";""		
2026-04-17;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2026-04-16;"-16.0";"-25.0";"azn";"Продукты";"16";"ASB kart";"Резервы";""		
2026-04-15;"11.0";"";"azn";"";"";"";"";"Кошелёк => Albali кредитная карта"		
2026-04-15;"-3.8";"";"azn";"Гигиена и красота";"1 2.8";"Кошелёк";"Резервы";""		
2026-04-15;"-1.0";"";"azn";"Продукты";"1";"ASB kart";"Резервы";""		
2026-04-15;"270.0";"";"azn";"";"";"";"";"ABB kart Samira => Albali кредитная карта"		
2026-04-14;"-12.0";"";"azn";"Продукты";"12";"Кошелёк";"Резервы";""		
2026-04-14;"-37.0";"-25.0";"azn";"Продукты";"37";"ASB kart";"Резервы";""		
2026-04-14;"429.0";"429.0";"azn";"Пенсия Самира";"429";"ABB kart Samira";"Резервы";""		
2026-04-13;"-4.0";"";"azn";"Продукты";"4";"Кошелёк";"Резервы";""		
2026-04-13;"-20.0";"";"azn";"Гигиена и красота";"20";"ASB kart";"Резервы";""		
2026-04-11;"-11.0";"-10.0";"azn";"Ком. услуги / Вода";"11";"Albali кредитная карта";"Резервы";""		
2026-04-11;"-9.0";"-25.0";"azn";"Продукты";"9";"ASB kart";"Резервы";""		
2026-04-11;"-80.0";"";"azn";"Подарки";"80 свадьба дочки Вугара механика";"Кошелёк";"Резервы";""		
2026-04-11;"380.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2026-04-11;"-35.0";"";"azn";"Ребенок";"35 еда";"ASB kart";"Резервы";""		
2026-04-10;"-30.0";"";"azn";"Ребенок";"30 к врачу Лейлу";"Кошелёк";"Резервы";""		
2026-04-10;"-100.0";"";"azn";"Подарки";"100 подарок маме на Пасху";"Albali кредитная карта";"Резервы";""		
2026-04-10;"-28.0";"";"azn";"Гигиена и красота";"28 духи Самире";"Albali кредитная карта";"Резервы";""		
2026-04-10;"-25.0";"-25.0";"azn";"Автомобиль / Бензин";"25";"ASB kart";"Резервы";""		
2026-04-09;"-150.0";"";"azn";"Ребенок";"150 детский сад";"Кошелёк";"Резервы";""		
2026-04-09;"-7.0";"";"azn";"Медицина / Лекарства";"7";"ASB kart";"Резервы";""		
2026-04-09;"-5.0";"-5.0";"azn";"Платный софт";"5 one drive";"DigiHesab Ilqar";"Резервы";""		
2026-04-09;"-1.0";"-25.0";"azn";"Продукты";"1";"ASB kart";"Резервы";""		
2026-04-08;"-5.6";"-5.6";"azn";"Платный софт";"5.6 ticktick";"ASB kart";"Резервы";""		
2026-04-08;"-1.5";"";"azn";"Продукты";"1.5";"ASB kart";"Резервы";""		
2026-04-07;"-12.0";"";"azn";"Интернет и связь";"12 Ilqar";"ASB kart";"Резервы";""		
2026-04-07;"-43.0";"-25.0";"azn";"Продукты";"43";"ASB kart";"Резервы";""		
2026-04-07;"-6.3";"";"azn";"Ребенок / Траты";"6.3";"Кошелёк";"Резервы";""		
2026-04-06;"-185.0";"-20.0";"azn";"Медицина / Лекарства";"185 glialia для Руфатика";"ASB kart";"Резервы";""		
2026-04-06;"250.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2026-04-06;"1011.0";"";"azn";"";"";"";"";"TamKart Fiziki 5338 => Зарубежные акции"		
2026-04-05;"-24.0";"";"azn";"Продукты";"24";"Albali кредитная карта";"Резервы";""		
2026-04-05;"-50.0";"-50.0";"azn";"Платный софт";"50 Notion";"Albali кредитная карта";"Резервы";""		
2026-04-05;"1000.0";"";"azn";"";"";"";"";"ASB kart => TamKart Fiziki 5338"		
2026-04-05;"-34.5";"-20.0";"azn";"Ребенок / Траты";"34.5 едв";"ASB kart";"Резервы";""		
2026-04-04;"50.0";"";"azn";"Подарки";"50 Лейле от эми";"Digihesab Samira";"Резервы";""		
2026-04-04;"70.0";"";"azn";"";"";"";"";"Копилка => Digihesab Samira"		
2026-04-04;"-15.0";"-25.0";"azn";"Продукты";"15";"ASB kart";"Резервы";""		
2026-04-04;"-36.4";"-60.0";"azn";"Медицина / Лекарства";"36.4 Финлипсал Эпинекс и Бисогамма";"ASB kart";"Резервы";""		
2026-04-04;"-22.0";"-50.0";"azn";"Продукты";"22";"ASB kart";"Резервы";""		
2026-04-03;"50.0";"";"azn";"";"";"";"";"Кошелёк => Digihesab Samira"		
2026-04-03;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2026-04-03;"-51.0";"-25.0";"azn";"Автомобиль / Бензин";"51";"ASB kart";"Резервы";""		
2026-04-02;"2130.0";"2300.0";"azn";"Зарплата Ильгар";"2130";"ASB kart";"Резервы";""		
2026-04-02;"-2.2";"-25.0";"azn";"Продукты";"2.2";"ASB kart";"Резервы";""		
2026-04-02;"349.0";"";"azn";"";"";"";"";"ABB kart Samira => Digihesab Samira"		
2026-04-01;"-3.0";"";"azn";"Интернет и связь";"3 ilqar";"ASB kart";"Резервы";""		
2026-03-31;"-25.0";"-25.0";"azn";"Интернет и связь";"25 ailenet";"ABB kart Samira";"Резервы";""		
2026-03-31;"-36.0";"";"azn";"Медицина / Лекарства";"36";"ASB kart";"Резервы";""		
2026-03-31;"-80.0";"";"azn";"Одежда и обувь";"80";"ABB kart Samira";"Резервы";""		
2026-03-31;"-7.2";"";"azn";"Продукты";"7.2";"ASB kart";"Резервы";""		
2026-03-30;"-30.0";"";"azn";"Гигиена и красота";"30 салон";"Кошелёк";"Резервы";""		
2026-03-30;"-250.0";"";"azn";"Дом";"250 мультиварка и блендер";"Кошелёк";"Резервы";""		
2026-03-30;"-100.0";"";"azn";"Дом";"100 обувной шкаф";"Кошелёк";"Резервы";""		
2026-03-30;"-3.0";"";"azn";"Интернет и связь";"3 Samira";"ABB kart Samira";"Резервы";""		
2026-03-28;"-5.5";"-25.0";"azn";"Продукты";"3.5 2";"ASB kart";"Резервы";""		
2026-03-27;"-35.0";"";"azn";"Ребенок";"35 еда";"ASB kart";"Резервы";""		
2026-03-26;"-11.0";"-25.0";"azn";"Продукты";"8 3";"ASB kart";"Резервы";""		
2026-03-25;"-30.0";"";"azn";"Ребенок";"30 подгузники";"Кошелёк";"Резервы";""		
2026-03-24;"-12.0";"";"azn";"Продукты";"12";"Кошелёк";"Резервы";""		
2026-03-24;"-3.5";"";"azn";"Медицина / Лекарства";"3.5";"ASB kart";"Резервы";""		
2026-03-24;"-20.0";"-25.0";"azn";"Продукты";"20";"ASB kart";"Резервы";""		
2026-03-23;"-12.0";"";"azn";"Интернет и связь";"12 Ильгар";"ASB kart";"Резервы";""		
2026-03-23;"-37.0";"";"azn";"Продукты";"37";"ASB kart";"Резервы";""		
2026-03-22;"-10.0";"";"azn";"Гигиена и красота";"10";"ASB kart";"Резервы";""		
2026-03-22;"-3.2";"";"azn";"Медицина / Лекарства";"3.2";"ASB kart";"Резервы";""		
2026-03-21;"-10.0";"-25.0";"azn";"Продукты";"10";"ASB kart";"Резервы";""		
2026-03-21;"-6.0";"-6.0";"azn";"Платный софт";"6 Yandex Music";"ASB kart";"Резервы";""		
2026-03-20;"-30.0";"-25.0";"azn";"Автомобиль / Бензин";"30";"ASB kart";"Резервы";""		
2026-03-19;"-15.0";"-80.0";"azn";"Продукты";"15";"ASB kart";"Резервы";""		
2026-03-19;"-29.0";"-25.0";"azn";"Продукты";"29";"ASB kart";"Резервы";""		
2026-03-18;"-29.0";"";"azn";"Продукты";"29";"ASB kart";"Резервы";""		
2026-03-18;"-35.0";"";"azn";"Ребенок";"35 еда";"ASB kart";"Резервы";""		
2026-03-17;"500.0";"";"azn";"Зарплата Ильгар";"500";"ASB kart";"Резервы";""		
2026-03-17;"-3.2";"-25.0";"azn";"Продукты";"3.2";"ASB kart";"Резервы";""		
2026-03-16;"-14.0";"";"azn";"Продукты";"14";"Кошелёк";"Резервы";""		
2026-03-16;"-11.0";"";"azn";"Продукты";"11";"ASB kart";"Резервы";""		
2026-03-15;"-6.0";"";"azn";"Продукты";"6";"ASB kart";"Резервы";""		
2026-03-15;"-11.0";"";"azn";"Продукты";"11";"Кошелёк";"Резервы";""		
2026-03-14;"-20.0";"";"azn";"Ребенок";"10 5 5 Лейла прививка";"Кошелёк";"Резервы";""		
2026-03-14;"-1.0";"";"azn";"Автомобиль / Мойка";"1";"Кошелёк";"Резервы";""		
2026-03-14;"-40.0";"";"azn";"Ком. услуги / Отопление";"40";"Кошелёк";"Резервы";""		
2026-03-14;"90.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2026-03-14;"-85.0";"-25.0";"azn";"Продукты";"85";"ASB kart";"Резервы";""		
2026-03-14;"-88.0";"-40.0";"azn";"Ком. услуги / Электроэнергия";"88";"ASB kart";"Резервы";""		
2026-03-13;"1200.0";"";"azn";"";"Эльдару дал в долг";"";"";"ASB kart => Дал в долг"		
2026-03-13;"-16.0";"";"azn";"Гигиена и красота";"16";"ASB kart";"Резервы";""		
2026-03-13;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2026-03-12;"-8.0";"";"azn";"Проценты и бонусы";"8";"ASB kart";"Резервы";""		
2026-03-12;"-15.0";"";"azn";"Медицина / Лекарства";"15";"ASB kart";"Резервы";""		
2026-03-12;"-250.0";"";"azn";"Ребенок / Терапия";"250 Ульвие";"ASB kart";"Резервы";""		
2026-03-12;"-52.0";"-25.0";"azn";"Продукты";"52";"ASB kart";"Резервы";""		
2026-03-11;"-52.0";"";"azn";"Ком. услуги / Электроэнергия";"52";"ASB kart";"Резервы";""		
2026-03-11;"-12.0";"-10.0";"azn";"Ком. услуги / Вода";"12";"ASB kart";"Резервы";""		
2026-03-10;"-41.5";"";"azn";"Ребенок";"34.5 7";"ASB kart";"Резервы";""		
2026-03-10;"-25.0";"-25.0";"azn";"Продукты";"25";"Кошелёк";"Резервы";""		
2026-03-09;"-2.0";"";"azn";"Продукты";"2";"ASB kart";"Резервы";""		
2026-03-09;"-232.0";"";"azn";"Автомобиль / Запчасти";"232";"ASB kart";"Резервы";""		
2026-03-09;"429.0";"429.0";"azn";"Пенсия Самира";"429";"ABB kart Samira";"Резервы";""		
2026-03-09;"-5.0";"-5.0";"azn";"Платный софт";"5 one drive";"DigiHesab Ilqar";"Резервы";""		
2026-03-08;"-25.0";"";"azn";"Подарки";"25 Самире цветы на восьмое марта";"DigiHesab Ilqar";"Резервы";""		
2026-03-08;"-11.0";"";"azn";"Продукты";"11";"ASB kart";"Резервы";""		
2026-03-08;"20.0";"";"azn";"";"";"";"";"ASB kart => DigiHesab Ilqar"		
2026-03-08;"-16.0";"";"azn";"Ребенок";"16";"ASB kart";"Резервы";""		
2026-03-08;"-5.6";"-5.6";"azn";"Платный софт";"5.6 ticktick";"Albali kart";"Резервы";""		
2026-03-07;"-15.0";"";"azn";"Медицина / Лечение";"15";"Кошелёк";"Резервы";""		
2026-03-07;"-145.0";"";"azn";"Медицина / Лечение";"145 МРТ колена";"ABB kart Samira";"Резервы";""		
2026-03-07;"-350.0";"";"azn";"Медицина / Лечение";"350 гель и стероид на колено Самиры";"ASB kart";"Резервы";""		
2026-03-07;"-42.0";"";"azn";"Подарки";"42 на восьмое марта цветы маме и Нуране";"DigiHesab Ilqar";"Резервы";""		
2026-03-07;"-10.0";"-25.0";"azn";"Продукты";"10";"ASB kart";"Резервы";""		
2026-03-06;"-150.0";"";"azn";"Подарки";"150 на восьмое марта в детский сад";"Кошелёк";"Резервы";""		
2026-03-06;"-1.2";"";"azn";"Продукты";"1.2";"ASB kart";"Резервы";""		
2026-03-06;"-30.0";"-25.0";"azn";"Автомобиль / Бензин";"30";"ASB kart";"Резервы";""		
2026-03-05;"-7.0";"";"azn";"Продукты";"7";"Кошелёк";"Резервы";""		
2026-03-05;"2700.0";"2300.0";"azn";"Зарплата Ильгар";"2700";"ASB kart";"Резервы";""		
2026-03-05;"-50.0";"-50.0";"azn";"Платный софт";"50 Notion";"Albali кредитная карта";"Резервы";""		
2026-03-05;"-5.0";"";"azn";"Подарки";"5 на восьмое марта лаборантке";"DigiHesab Ilqar";"Резервы";""		
2026-03-05;"-82.0";"-25.0";"azn";"Продукты";"82";"ASB kart";"Резервы";""		
2026-03-04;"-100.0";"";"azn";"Платный софт";"100 mindomo за шесть месяцев";"ABB kart Samira";"Резервы";""		
2026-03-04;"-7.0";"";"azn";"Продукты";"7";"ASB kart";"Резервы";""		
2026-03-04;"94.0";"";"azn";"";"";"";"";"ABB kart Samira => Albali кредитная карта"		
2026-03-03;"-25.0";"";"azn";"Ребенок";"25 подгузники";"ASB kart";"Резервы";""		
2026-03-03;"-56.0";"";"azn";"Медицина / Лекарства";"56";"ASB kart";"Резервы";""		
2026-03-03;"-36.0";"-25.0";"azn";"Продукты";"36";"ASB kart";"Резервы";""		
2026-03-02;"-30.0";"";"azn";"Ребенок";"30 Лейла к Рашаду";"ASB kart";"Резервы";""		
2026-03-02;"-40.0";"";"azn";"Медицина / Лечение";"40 Самира к травмотологу";"ASB kart";"Резервы";""		
2026-03-02;"3000.0";"";"azn";"";"";"";"";"ASB kart => Зарубежные акции"		
2026-03-01;"-2.0";"";"azn";"Продукты";"2";"ASB kart";"Резервы";""		
2026-03-01;"-30.0";"-30.0";"azn";"Платный софт";"30 honemoney";"DigiHesab Ilqar";"Резервы";""		
2026-02-28;"600.0";"";"azn";"Подарки";"600 Деньги государства за Лейлу";"Кошелёк";"Резервы";""		
2026-02-28;"-25.0";"-25.0";"azn";"Интернет и связь";"25 ailenet";"DigiHesab Ilqar";"Резервы";""		
2026-02-28;"-7.0";"-8.0";"azn";"Интернет и связь";"3 4 Ильгар Самира";"ASB kart";"Резервы";""		
2026-02-28;"-25.0";"-25.0";"azn";"Продукты";"25";"ASB kart";"Резервы";""		
2026-02-27;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2026-02-27;"-30.0";"-25.0";"azn";"Автомобиль / Бензин";"30";"ASB kart";"Резервы";""		
2026-02-26;"3100.0";"";"azn";"Зарплата Ильгар";"3100 тринадцатая зарплата";"ASB kart";"Резервы";""		
2026-02-26;"-12.0";"-25.0";"azn";"Продукты";"12";"ASB kart";"Резервы";""		
2026-02-25;"-16.0";"";"azn";"Гигиена и красота";"16";"ASB kart";"Резервы";""		
2026-02-25;"-17.0";"";"azn";"Медицина / Лекарства";"17";"ASB kart";"Резервы";""		
